stock_symbol,stock_name
RY,Royal Bank of Canada
TD,The Toronto-Dominion Bank
ENB,Enbridge Inc.
SHOP,Shopify Inc.
CP,Canadian Pacific Kansas City Limited
TRI,Thomson Reuters Corporation
CNR,Canadian National Railway Company
BN,Brookfield Corporation
CNQ,Canadian Natural Resources Limited
CSU,Constellation Software Inc.
BNS,The Bank of Nova Scotia
BMO,Bank of Montreal
NGT,Newmont Corporation
CM,Canadian Imperial Bank of Commerce
ATD,Alimentation Couche-Tard Inc.
TRP,TC Energy Corporation
MFC,Manulife Financial Corporation
WCN,"Waste Connections, Inc."
SU,Suncor Energy Inc.
L,Loblaw Companies Limited
AEM,Agnico Eagle Mines Limited
IMO,Imperial Oil Limited
ABX,Barrick Gold Corporation
IFC,Intact Financial Corporation
BCE,BCE Inc.
SLF,Sun Life Financial Inc.
NA,National Bank of Canada
CVE,Cenovus Energy Inc.
GWO,Great-West Lifeco Inc.
DOL,Dollarama Inc.
WPM,Wheaton Precious Metals Corp.
FFH,Fairfax Financial Holdings Limited
GIB.A,CGI Inc.
T,TELUS Corporation
PPL,Pembina Pipeline Corporation
FNV,Franco-Nevada Corporation
QSP.UN,Restaurant Brands International Limited Partnership
TECK.B,Teck Resources Limited
TECK.A,Teck Resources Limited
NTR,Nutrien Ltd.
FTS,Fortis Inc.
RCI.B,Rogers Communications Inc.
RCI.A,Rogers Communications Inc.
WN,George Weston Limited
QSR,Restaurant Brands International Inc.
WSP,WSP Global Inc.
H,Hydro One Limited
POW,Power Corporation of Canada
BAM,Brookfield Asset Management Ltd.
CCO,Cameco Corporation
IVN,Ivanhoe Mines Ltd.
TOU,Tourmaline Oil Corp.
RBA,"RB Global, Inc."
GFL,GFL Environmental Inc.
BIP.UN,Brookfield Infrastructure Partners L.P.
MRU,Metro Inc.
TFII,TFI International Inc.
BEP.UN,Brookfield Renewable Partners L.P.
MG,Magna International Inc.
EMA,Emera Incorporated
CCL.B,CCL Industries Inc.
CCL.A,CCL Industries Inc.
OVV,Ovintiv Inc.
K,Kinross Gold Corporation
BEPC,Brookfield Renewable Corporation
ARX,ARC Resources Ltd.
SAP,Saputo Inc.
DAY,Dayforce Inc.
STN,Stantec Inc.
FM,First Quantum Minerals Ltd.
X,TMX Group Limited
OTEX,Open Text Corporation
EFN,Element Fleet Management Corp.
DSG,The Descartes Systems Group Inc.
BNRE,Brookfield Reinsurance Ltd.
FSV,FirstService Corporation
PHYS,Sprott Physical Gold Trust
AGI,Alamos Gold Inc.
ALA,AltaGas Ltd.
TIH,Toromont Industries Ltd.
IAG,iA Financial Corporation Inc.
CIGI,Colliers International Group Inc.
GIL,Gildan Activewear Inc.
WFG,West Fraser Timber Co. Ltd.
CU,Canadian Utilities Limited
KEY,Keyera Corp.
PAAS,Pan American Silver Corp.
IGM,IGM Financial Inc.
EMP.A,Empire Company Limited
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust
CTC,"Canadian Tire Corporation, Limited"
CTC.A,"Canadian Tire Corporation, Limited"
LUN,Lundin Mining Corporation
ATRL,AtkinsRéalis Group Inc.
BBD.A,Bombardier Inc.
BBD.B,Bombardier Inc.
QBR.B,Quebecor Inc.
QBR.A,Quebecor Inc.
CAE,CAE Inc.
BIPC,Brookfield Infrastructure Corporation
BLCO,Bausch + Lomb Corporation
